date,open,high,low,close,volume
2019-09-27 00:00:00+05:30,36.15,36.65,35.8,36.15,1719752
2019-09-30 00:00:00+05:30,36.15,36.35,34.05,34.4,1486087
2019-10-01 00:00:00+05:30,34.4,34.75,31.05,32.5,2627206
2019-10-03 00:00:00+05:30,32.9,32.9,31.4,31.65,1095444
2019-10-04 00:00:00+05:30,32.4,32.5,31.1,31.55,3758238
2019-10-07 00:00:00+05:30,32.3,32.4,31.1,31.2,1259719
2019-10-09 00:00:00+05:30,31.0,31.5,30.8,31.0,2850274
2019-10-10 00:00:00+05:30,31.0,31.3,30.9,31.05,544550
2019-10-11 00:00:00+05:30,31.5,31.5,30.75,31.15,1053382
2019-10-14 00:00:00+05:30,31.2,31.4,30.85,31.25,714259
2019-10-15 00:00:00+05:30,31.3,31.5,31.0,31.25,576812
2019-10-16 00:00:00+05:30,31.25,31.55,31.15,31.3,732631
2019-10-17 00:00:00+05:30,31.3,32.2,31.1,32.1,888482
2019-10-18 00:00:00+05:30,32.1,33.45,31.95,33.0,876583
2019-10-22 00:00:00+05:30,33.5,33.95,32.35,33.0,999860
2019-10-23 00:00:00+05:30,33.6,33.6,32.35,32.7,667650
2019-10-24 00:00:00+05:30,33.1,33.1,32.0,32.2,863246
2019-10-25 00:00:00+05:30,32.5,34.0,32.25,33.0,1963868
2019-10-27 00:00:00+05:30,34.0,34.0,33.2,33.45,378160
2019-10-29 00:00:00+05:30,33.15,33.7,33.05,33.5,886407
2019-10-30 00:00:00+05:30,33.85,34.7,33.35,33.9,1580558
2019-10-31 00:00:00+05:30,34.0,35.4,33.95,35.05,2905556
2019-11-01 00:00:00+05:30,35.5,36.25,35.1,35.3,1079241
2019-11-04 00:00:00+05:30,36.05,36.4,34.8,35.05,1918883
2019-11-05 00:00:00+05:30,35.5,35.85,34.65,34.9,1243571
2019-11-06 00:00:00+05:30,35.0,35.25,33.65,33.9,1205916
2019-11-07 00:00:00+05:30,34.2,34.7,33.5,33.75,1333672
2019-11-08 00:00:00+05:30,33.7,34.65,33.65,33.75,1076727
2019-11-11 00:00:00+05:30,33.35,34.3,33.3,33.65,1315020
2019-11-13 00:00:00+05:30,33.6,35.9,33.6,34.15,9499721
2019-11-14 00:00:00+05:30,34.45,34.7,34.05,34.5,1206728
2019-11-15 00:00:00+05:30,34.55,34.9,33.65,34.55,5499690
2019-11-18 00:00:00+05:30,34.9,35.3,34.4,34.55,873664
2019-11-19 00:00:00+05:30,34.65,35.2,34.3,34.4,993395
2019-11-20 00:00:00+05:30,34.8,34.85,33.9,34.0,1363255
2019-11-21 00:00:00+05:30,33.95,34.35,33.35,33.5,4664109
2019-11-22 00:00:00+05:30,33.5,33.8,33.1,33.25,1008239
2019-11-25 00:00:00+05:30,33.3,33.65,33.1,33.45,1565501
2019-11-26 00:00:00+05:30,33.45,33.95,33.0,33.35,2572093
2019-11-27 00:00:00+05:30,33.4,33.8,33.1,33.35,1360490
2019-11-28 00:00:00+05:30,33.35,35.95,33.1,35.0,3816385
2019-11-29 00:00:00+05:30,35.3,36.4,35.1,35.6,5152553
2019-12-02 00:00:00+05:30,35.9,36.2,35.25,35.4,2529886
2019-12-03 00:00:00+05:30,35.4,35.5,34.4,34.8,1647448
2019-12-04 00:00:00+05:30,35.0,35.2,34.1,34.6,1510717
2019-12-05 00:00:00+05:30,34.35,35.05,34.15,34.35,949036
2019-12-06 00:00:00+05:30,34.85,34.85,33.55,34.0,1435658
2019-12-09 00:00:00+05:30,33.95,34.25,33.0,33.75,1900273
2019-12-10 00:00:00+05:30,34.0,34.1,33.05,33.35,913705
2019-12-11 00:00:00+05:30,33.4,33.7,32.7,32.95,2153332
2019-12-12 00:00:00+05:30,33.4,33.4,32.75,32.95,1041621
2019-12-13 00:00:00+05:30,33.2,34.2,33.1,33.95,1124864
2019-12-16 00:00:00+05:30,34.5,34.5,32.75,32.9,974514
2019-12-17 00:00:00+05:30,32.75,33.0,32.4,32.55,1576047
2019-12-18 00:00:00+05:30,32.45,32.65,31.95,32.25,1284198
2019-12-19 00:00:00+05:30,32.25,32.65,31.9,32.4,2206165
2019-12-20 00:00:00+05:30,32.65,33.35,32.25,32.45,3066055
2019-12-23 00:00:00+05:30,32.75,33.8,32.6,33.65,3322950
2019-12-24 00:00:00+05:30,33.85,35.75,33.55,35.3,6071266
2019-12-26 00:00:00+05:30,35.95,35.95,35.05,35.45,2748000
2019-12-27 00:00:00+05:30,35.8,38.2,35.7,37.8,6831482
2019-12-30 00:00:00+05:30,38.0,39.6,38.0,39.1,5455374
2019-12-31 00:00:00+05:30,38.7,39.6,38.35,39.25,3868562
2020-01-01 00:00:00+05:30,39.25,39.6,38.65,38.85,1579649
2020-01-02 00:00:00+05:30,38.5,39.0,37.9,38.05,2729905
2020-01-03 00:00:00+05:30,38.1,38.1,37.1,37.2,1790873
2020-01-06 00:00:00+05:30,36.95,36.95,35.4,35.65,2621650
2020-01-07 00:00:00+05:30,36.0,37.05,35.8,36.85,1852219
2020-01-08 00:00:00+05:30,36.4,37.0,35.85,36.15,1124533
2020-01-09 00:00:00+05:30,36.6,38.4,36.6,37.85,3893415
2020-01-10 00:00:00+05:30,37.8,39.3,37.4,38.2,2100618
2020-01-13 00:00:00+05:30,38.3,38.75,37.9,38.1,1092119
2020-01-14 00:00:00+05:30,38.4,39.25,38.0,38.8,1487650
2020-01-15 00:00:00+05:30,38.5,40.25,38.2,39.95,3581819
2020-01-16 00:00:00+05:30,40.0,40.5,39.4,39.65,2343027
2020-01-17 00:00:00+05:30,39.25,39.45,38.0,38.25,2449831
2020-01-20 00:00:00+05:30,38.55,38.65,38.0,38.45,917614
2020-01-21 00:00:00+05:30,38.65,39.3,38.3,38.55,1154621
2020-01-22 00:00:00+05:30,38.8,39.45,38.25,38.4,1017636
2020-01-23 00:00:00+05:30,38.75,38.95,36.85,37.0,3926412
2020-01-24 00:00:00+05:30,37.0,37.45,36.7,37.0,3941482
2020-01-27 00:00:00+05:30,37.25,37.25,36.65,36.75,767794
2020-01-28 00:00:00+05:30,36.8,37.0,36.55,36.95,1625521
2020-01-29 00:00:00+05:30,37.1,37.1,36.8,36.9,1682392
2020-01-30 00:00:00+05:30,36.45,37.1,33.55,33.95,10422723
2020-01-31 00:00:00+05:30,34.45,35.15,33.85,34.7,3185615
2020-02-01 00:00:00+05:30,35.25,36.9,34.5,35.6,2598668
2020-02-03 00:00:00+05:30,35.5,36.45,34.5,34.65,1644207
2020-02-04 00:00:00+05:30,35.0,35.7,34.75,35.45,1220816
2020-02-05 00:00:00+05:30,35.1,36.6,35.1,36.3,1338732
2020-02-06 00:00:00+05:30,36.5,36.9,35.7,36.75,1399475
2020-02-07 00:00:00+05:30,36.95,37.0,36.0,36.3,1284417
2020-02-10 00:00:00+05:30,36.1,36.5,35.5,35.6,566695
2020-02-11 00:00:00+05:30,35.7,36.2,35.5,35.65,886993
2020-02-12 00:00:00+05:30,35.85,36.0,35.1,35.2,655754
2020-02-13 00:00:00+05:30,35.2,35.6,34.8,35.05,898285
2020-02-14 00:00:00+05:30,35.05,35.5,34.45,34.55,918200
2020-02-17 00:00:00+05:30,34.7,34.8,33.95,34.2,789280
2020-02-18 00:00:00+05:30,34.0,34.15,33.4,33.85,969736
2020-02-19 00:00:00+05:30,34.0,35.45,34.0,35.2,942369
2020-02-20 00:00:00+05:30,35.3,35.75,34.85,35.6,805518
2020-02-24 00:00:00+05:30,35.55,35.6,33.7,34.45,1092949
2020-02-25 00:00:00+05:30,34.55,34.9,33.9,34.0,560131
2020-02-26 00:00:00+05:30,34.1,34.25,33.45,33.5,2808974
2020-02-27 00:00:00+05:30,33.5,33.6,33.1,33.4,1502458
2020-02-28 00:00:00+05:30,33.45,33.45,31.85,32.15,1907157
2020-03-02 00:00:00+05:30,32.4,33.1,32.05,32.35,3510214
2020-03-03 00:00:00+05:30,32.5,33.1,32.3,32.6,944652
2020-03-04 00:00:00+05:30,32.6,33.2,31.85,32.0,1037765
2020-03-05 00:00:00+05:30,32.5,32.5,31.75,31.85,945943
2020-03-06 00:00:00+05:30,30.55,31.2,28.8,30.25,2213204
2020-03-09 00:00:00+05:30,31.6,31.6,27.0,27.55,2137249
2020-03-11 00:00:00+05:30,27.65,29.15,27.65,28.85,2690645
2020-03-12 00:00:00+05:30,25.05,26.9,23.7,24.5,2996925
2020-03-13 00:00:00+05:30,22.5,26.25,19.8,24.8,6530622
2020-03-16 00:00:00+05:30,24.0,24.45,21.75,22.0,2064437
2020-03-17 00:00:00+05:30,22.3,23.0,20.1,20.55,4708324
2020-03-18 00:00:00+05:30,21.0,21.4,18.3,18.85,3344220
2020-03-19 00:00:00+05:30,18.0,18.1,17.0,17.0,4564885
2020-03-20 00:00:00+05:30,17.1,17.5,15.35,16.2,4384347
2020-03-23 00:00:00+05:30,14.65,15.0,14.6,14.6,1785425
2020-03-24 00:00:00+05:30,14.6,16.0,13.25,14.9,4941462
2020-03-25 00:00:00+05:30,14.75,15.0,14.35,14.65,2338871
2020-03-26 00:00:00+05:30,14.8,15.35,14.8,15.35,1662496
2020-03-27 00:00:00+05:30,16.1,16.1,15.5,16.1,1949057
2020-03-30 00:00:00+05:30,16.4,16.4,15.3,15.3,1795012
2020-03-31 00:00:00+05:30,15.5,15.9,14.55,14.85,2263703
2020-04-01 00:00:00+05:30,15.25,15.25,14.4,14.5,5240409
2020-04-03 00:00:00+05:30,14.95,14.95,13.8,14.05,3300706
2020-04-07 00:00:00+05:30,14.7,14.75,13.95,14.1,3796458
2020-04-08 00:00:00+05:30,14.15,14.8,14.0,14.5,2336145
2020-04-09 00:00:00+05:30,14.7,15.0,14.45,14.7,3826686
2020-04-13 00:00:00+05:30,15.2,15.4,15.0,15.4,7043907
2020-04-15 00:00:00+05:30,16.15,16.15,15.15,15.35,4713110
2020-04-16 00:00:00+05:30,15.4,16.1,15.35,15.95,3171220
2020-04-17 00:00:00+05:30,16.7,16.7,16.2,16.7,3554984
2020-04-20 00:00:00+05:30,17.3,17.5,17.2,17.5,2203330
2020-04-21 00:00:00+05:30,17.95,17.95,16.65,16.65,4791596
2020-04-22 00:00:00+05:30,16.7,16.75,15.85,15.85,2337412
2020-04-23 00:00:00+05:30,15.85,16.5,15.4,15.6,3795760
2020-04-24 00:00:00+05:30,15.7,15.75,14.85,14.85,4156226
2020-04-27 00:00:00+05:30,15.0,15.15,14.4,14.55,5690348
2020-04-28 00:00:00+05:30,14.9,15.0,14.3,14.6,4423717
2020-04-29 00:00:00+05:30,14.8,14.95,14.45,14.45,6295925
2020-04-30 00:00:00+05:30,14.75,14.75,14.4,14.5,5880072
2020-05-04 00:00:00+05:30,14.5,14.5,13.8,13.85,4823906
2020-05-05 00:00:00+05:30,14.25,14.25,13.8,13.85,4071317
2020-05-06 00:00:00+05:30,13.95,14.1,13.7,13.9,3064921
2020-05-07 00:00:00+05:30,13.9,14.1,13.8,13.9,1787697
2020-05-08 00:00:00+05:30,14.0,14.55,13.95,14.25,2976183
2020-05-11 00:00:00+05:30,14.45,14.7,13.85,13.95,2789844
2020-05-12 00:00:00+05:30,14.05,14.15,13.8,13.9,4690071
2020-05-13 00:00:00+05:30,14.55,14.55,13.95,14.2,9553389
2020-05-14 00:00:00+05:30,14.35,14.4,13.95,13.95,5025018
2020-05-15 00:00:00+05:30,14.0,14.1,13.95,14.0,1716485
2020-05-18 00:00:00+05:30,14.0,14.05,13.45,13.5,5527263
2020-05-19 00:00:00+05:30,13.9,13.9,13.45,13.45,3359326
2020-05-20 00:00:00+05:30,13.45,13.6,13.45,13.5,1325288
2020-05-21 00:00:00+05:30,13.45,13.65,13.45,13.5,1598819
2020-05-22 00:00:00+05:30,13.6,13.65,13.4,13.4,2790290
2020-05-26 00:00:00+05:30,13.55,13.75,13.5,13.6,4442142
2020-05-27 00:00:00+05:30,13.55,13.7,13.4,13.45,5183717
2020-05-28 00:00:00+05:30,13.5,13.85,13.45,13.6,2963485
2020-05-29 00:00:00+05:30,13.6,14.25,13.55,14.25,18099376
2020-06-01 00:00:00+05:30,14.85,14.95,14.6,14.95,10975406
2020-06-02 00:00:00+05:30,15.55,15.65,15.1,15.65,11812878
2020-06-03 00:00:00+05:30,16.15,16.4,15.6,15.85,13113853
2020-06-04 00:00:00+05:30,15.75,15.95,15.1,15.1,7832977
2020-06-05 00:00:00+05:30,15.2,17.25,14.9,17.15,25379482
2020-06-08 00:00:00+05:30,18.05,19.5,17.9,18.45,26612388
2020-06-09 00:00:00+05:30,18.65,18.95,17.1,17.4,12891798
2020-06-10 00:00:00+05:30,17.4,18.6,17.1,18.05,22094076
2020-06-11 00:00:00+05:30,18.1,19.1,17.6,17.8,24315807
2020-06-12 00:00:00+05:30,16.85,18.65,16.6,18.2,30318129
2020-06-15 00:00:00+05:30,18.8,20.25,18.6,19.3,28951994
2020-06-16 00:00:00+05:30,19.7,19.7,18.3,18.85,13080117
2020-06-17 00:00:00+05:30,18.5,18.85,18.3,18.4,6495253
2020-06-18 00:00:00+05:30,18.65,19.5,18.5,19.25,13014982
2020-06-19 00:00:00+05:30,19.35,19.8,19.0,19.4,10711316
2020-06-22 00:00:00+05:30,19.5,22.3,19.0,21.5,57978821
2020-06-23 00:00:00+05:30,21.85,21.95,20.85,21.2,21417282
2020-06-24 00:00:00+05:30,21.2,21.8,19.5,20.0,22475287
2020-06-25 00:00:00+05:30,20.0,20.6,19.25,19.9,18216136
2020-06-26 00:00:00+05:30,20.1,20.35,19.25,19.3,12822676
2020-06-29 00:00:00+05:30,19.3,19.5,18.55,18.85,11884986
2020-06-30 00:00:00+05:30,19.0,19.2,18.25,18.4,7691480
2020-07-01 00:00:00+05:30,18.45,19.05,18.2,18.6,13980004
2020-07-02 00:00:00+05:30,18.85,19.25,18.7,19.05,9594880
2020-07-03 00:00:00+05:30,19.15,19.25,18.85,19.05,6237918
2020-07-06 00:00:00+05:30,19.2,19.4,19.05,19.1,5172760
2020-07-07 00:00:00+05:30,19.2,20.7,19.15,20.55,27531676
2020-07-08 00:00:00+05:30,20.7,20.8,20.1,20.25,15716856
2020-07-09 00:00:00+05:30,20.3,20.8,20.2,20.3,9258795
2020-07-10 00:00:00+05:30,20.05,20.05,19.1,19.3,14302730
2020-07-13 00:00:00+05:30,19.35,19.6,19.1,19.3,8043194
2020-07-14 00:00:00+05:30,19.3,19.3,18.55,18.75,8605711
2020-07-15 00:00:00+05:30,18.9,19.1,18.4,18.5,5674873
